Week,Season,Day,Visiting Team,Visiting,Conference,Division,Home,Home Team,Conference,Division,
12,2018,Sun,MIA,Dolphins,AFC,East,Colts,IND,AFC,South,
12,2018,Sun,NE,Patriots,AFC,East,Jets,NYJ,AFC,East,
12,2018,Sun,NYG,Giants,NFC,East,Eagles,PHI,NFC,East,
12,2018,Sun,OAK,Raiders,AFC,West,Ravens,BAL,AFC,North,
12,2018,Sun,SF,49ers,NFC,West,Buccaneers,TB,NFC,South,
12,2018,Sun,ARI,Cardinals,NFC,West,Chargers,LAC,AFC,West,
12,2018,Sun,PIT,Steelers,AFC,North,Broncos,DEN,AFC,West,
12,2018,Sun,GB,Packers,NFC,North,Vikings,MIN,NFC,North,
12,2018,Mon,TEN,Titans,AFC,South ,Texans,HOU,AFC,South,
13,2018,Thu,NO,Saints,NFC,South,Cowboys,DAL,NFC,East,
13,2018,Sun,BAL,Ravens,AFC,North,Falcons,ATL,NFC,South,
13,2018,Sun,DEN,Broncos,AFC,West,Bengals,CIN,AFC,North,
13,2018,Sun,STL,Rams,NFC,West,Lions,DET,NFC,North,
13,2018,Sun,ARI,Cardinals,NFC,West,Packers,GB,NFC,North,
13,2018,Sun,CLE,Browns,AFC,North,Texans,HOU,AFC,South,
13,2018,Sun,IND,Colts,AFC,South , Jaguars,JAX,AFC,South,
13,2018,Sun,BUF,Bills,AFC,East,Dolphins,MIA,AFC,East,
13,2018,Sun,CHI,Bears,NFC,North,Giants,NYG,NFC,East,
13,2018,Sun,LAC,Chargers,AFC,West,Steelers,PIT,AFC,North,
13,2018,Sun,CAR,Panthers,NFC,South,Buccaneers,TB,NFC,South,
13,2018,Sun,NYJ, Jets,AFC,East,Titans,TEN,AFC,South,
13,2018,Sun,KC,Chiefs,AFC,West,Raiders,OAK,AFC,West,
13,2018,Sun,MIN,Vikings,NFC,North,Patriots,NE,AFC,East,
13,2018,Sun,SF,49ers,NFC,West,Seahawks,SEA,NFC,West,
13,2018,Mon,WAS,Redskins,NFC,East,Eagles,PHI,NFC,East,
14,2018,Thu,JAX,Jaguars,AFC,South ,Titans,TEN,AFC,South,
14,2018,Sun,NYJ, Jets,AFC,East,Bills,BUF,AFC,East,
14,2018,Sun,STL,Rams,NFC,West,Bears,CHI,NFC,North,
14,2018,Sun,CAR,Panthers,NFC,South,Browns,CLE,AFC,North,
14,2018,Sun,ATL,Falcons,NFC,South,Packers,GB,NFC,North,
14,2018,Sun,IND,Colts,AFC,South ,Texans,HOU,AFC,South,
14,2018,Sun,BAL,Ravens,AFC,North,Chiefs,KC,AFC,West,
14,2018,Sun,NE,Patriots,AFC,East,Dolphins,MIA,AFC,East,
14,2018,Sun,NO,Saints,NFC,South,Buccaneers,TB,NFC,South,
14,2018,Sun,NYG,Giants,NFC,East,Redskins,WAS,NFC,East,
14,2018,Sun,CIN,Bengals,AFC,North,Chargers,LAC,AFC,West,
14,2018,Sun,DEN,Broncos,AFC,West,49ers,SF,NFC,West,
14,2018,Sun,DET,Lions,NFC,North,Cardinals,ARI,NFC,West,
14,2018,Sun,PHI,Eagles,NFC,East,Cowboys,DAL,NFC,East,
14,2018,Sun,PIT,Steelers,AFC,North,Raiders,OAK,AFC,West,
14,2018,Mon,MIN,Vikings,NFC,North,Seahawks,SEA,NFC,West,
15,2018,Thu,LAC,Chargers,AFC,West,Chiefs,KC,AFC,West,
15,2018,Sat,CLE,Browns,AFC,North,Broncos,DEN,AFC,West,
15,2018,Sat,HOU,Texans,AFC,South ,Jets,NYJ,AFC,East,
15,2018,Sun,ARI,Cardinals,NFC,West,Falcons,ATL,NFC,South,
15,2018,Sun,DET,Lions,NFC,North,Bills,BUF,AFC,East,
15,2018,Sun,GB,Packers,NFC,North,Bears,CHI,NFC,North,
15,2018,Sun,OAK,Raiders,AFC,West,Bengals,CIN,AFC,North,
15,2018,Sun,DAL,Cowboys,NFC,East,Colts,IND,AFC,South,
15,2018,Sun,WAS,Redskins,NFC,East, Jaguars,JAX,AFC,South,
15,2018,Sun,MIA,Dolphins,AFC,West,Vikings,MIN,NFC,North,
15,2018,Sun,TEN,Titans,AFC,South ,Giants,NYG,NFC,East,
15,2018,Sun,TB,Buccaneers,NFC,South,Ravens,BAL,AFC,North,
15,2018,Sun,SEA,Seahawks,NFC,West,49ers,SF,NFC,West,
15,2018,Sun,NE,Patriots,AFC,East,Steelers,PIT,AFC,North,
15,2018,Sun,PHI,Eagles,NFC,East,Rams,STL,NFC,West,
15,2018,Mon,NO,Saints,NFC,South,Panthers,CAR,NFC,South,
16,2018,Sun,ATL,Falcons,NFC,South,Panthers,CAR,NFC,South,
16,2018,Sun,CIN,Bengals,AFC,North,Browns,CLE,AFC,North,
16,2018,Sun,NYG,Giants,NFC,East,Colts,IND,AFC,South,
16,2018,Sun,TB,Buccaneers,NFC,South,Cowboys,DAL,NFC,East,
16,2018,Sun,MIN,Vikings,NFC,North,Lions,DET,NFC,North,
16,2018,Sun,JAX,Jaguars,AFC,South ,Dolphins,MIA,AFC,East,
16,2018,Sun,BUF,Bills,AFC,East,Patriots,NE,AFC,East,
16,2018,Sun,GB,Packers,NFC,North,Jets,NYJ,AFC,East,
16,2018,Sun,WAS,Redskins,NFC,East,Titans,TEN,AFC,South,
16,2018,Sun,HOU,Texans,AFC,South ,Eagles,PHI,NFC,East,
16,2018,Sun,STL,Rams,NFC,West,Cardinals,ARI,NFC,West,
16,2018,Sun,BAL,Ravens,AFC,North,Chargers,LAC,AFC,West,
16,2018,Sun,CHI,Bears,NFC,North,49ers,SF,NFC,West,
16,2018,Sun,PIT,Steelers,AFC,North,Saints,NO,NFC,South,
16,2018,Sun,KC,Chiefs,AFC,West,Seahawks,SEA,NFC,West,
16,2018,Mon,DEN,Broncos,AFC,West,Raiders,OAK,AFC,West,
17,2018,Sun,MIA,Dolphins,AFC,East,Bills,BUF,AFC,East,
17,2018,Sun,DET,Lions,NFC,North,Packers,GB,NFC,North,
17,2018,Sun,JAX,Jaguars,AFC,South ,Texans,HOU,AFC,South,
17,2018,Sun,OAK,Raiders,AFC,West,Chiefs,KC,AFC,West,
17,2018,Sun,CHI,Bears,NFC,North,Vikings,MIN,NFC,North,
17,2018,Sun,CAR,Panthers,NFC,South,Saints,NO,NFC,South,
17,2018,Sun,NYJ, Jets,AFC,East,Patriots,NE,AFC,East,
17,2018,Sun,DAL,Cowboys,NFC,East,Giants,NYG,NFC,East,
17,2018,Sun,IND,Colts,AFC,South ,Titans,TEN,AFC,South,
17,2018,Sun,CIN,Bengals,AFC,North,Steelers,PIT,AFC,North,
17,2018,Sun,CLE,Browns,AFC,North,Ravens,BAL,AFC,North,
17,2018,Sun,ATL,Falcons,NFC,South,Buccaneers,TB,NFC,South,
17,2018,Sun,PHI,Eagles,NFC,East,Redskins,WAS,NFC,East,
17,2018,Sun,LAC,Chargers,AFC,West,Broncos,DEN,AFC,West,
17,2018,Sun,SF,49ers,NFC,West,Rams,STL,NFC,West,
17,2018,Sun,ARI,Cardinals,NFC,West,Seahawks,SEA,NFC,West,
