game_id,gameorder,date_game,year_id,neutral,is_playoff,fran_id,home,away,opp_fran,elo_i,elo_n,elo_prob,home_score,away_score,result
9,9CINBAL,11/8/2009,2010,0,0,Bengals,CIN,BAL,Ravens,1516.342,1622.137,0.441559599,17,7,1
9,9CHIARI,11/8/2009,2010,0,0,Bears,CHI,ARI,Cardinals,1516.742,1552.248,0.542343612,21,41,0
9,9ATLWSH,11/8/2009,2010,0,0,Falcons,ATL,WSH,Redskins,1557.837,1406.486,0.776505422,31,17,1
9,9NEMIA,11/8/2009,2010,0,0,Patriots,NE,MIA,Dolphins,1641.692,1513.376,0.752653793,27,17,1
9,9JAXKC,11/8/2009,2010,0,0,Jaguars,JAX,KC,Chiefs,1437.391,1326.696,0.733290467,24,21,1
9,9NOCAR,11/8/2009,2010,0,0,Saints,NO,CAR,Panthers,1681.393,1504.968,0.80055297,30,20,1
9,9INDHOU,11/8/2009,2010,0,0,Colts,IND,HOU,Texans,1702.868,1542.764,0.785127752,20,17,1
9,9PHIDAL,11/8/2009,2010,0,0,Eagles,PHI,DAL,Cowboys,1619.171,1596.295,0.623834269,16,20,0
9,9SFTEN,11/8/2009,2010,0,0,49ers,SF,TEN,Titans,1449.785,1492.213,0.532438094,27,34,0
9,9TBGB,11/8/2009,2010,0,0,Buccaneers,TB,GB,Packers,1363.677,1508.44,0.387186837,38,28,1
9,9NYGLAC,11/8/2009,2010,0,0,Giants,NYG,LAC,Chargers,1568.576,1557.732,0.60744695,20,21,0
9,9SEADET,11/8/2009,2010,0,0,Seahawks,SEA,DET,Lions,1412.293,1274.353,0.762822497,32,20,1
9,9DENPIT,11/9/2009,2010,0,0,Broncos,DEN,PIT,Steelers,1562.719,1663.463,0.448740967,10,28,0
10,10SFCHI,11/12/2009,2010,0,0,49ers,SF,CHI,Bears,1427.412,1483.269,0.513154798,10,6,1
10,10LARNO,11/15/2009,2010,0,0,Rams,LAR,NO,Saints,1294.744,1690.012,0.129975496,23,28,0
10,10LACPHI,11/15/2009,2010,0,0,Chargers,LAC,PHI,Eagles,1566.454,1598.255,0.547632318,31,23,1
10,10WSHDEN,11/15/2009,2010,0,0,Redskins,WSH,DEN,Broncos,1395.465,1536.716,0.391994519,27,17,1
10,10OAKKC,11/15/2009,2010,0,0,Raiders,OAK,KC,Chiefs,1356.848,1319.848,0.642713069,10,16,0
10,10PITCIN,11/15/2009,2010,0,0,Steelers,PIT,CIN,Bengals,1689.466,1543.63,0.770947594,12,18,0
10,10NYJJAX,11/15/2009,2010,0,0,Jets,NYJ,JAX,Jaguars,1511.455,1444.239,0.681591743,22,24,0
10,10MINDET,11/15/2009,2010,0,0,Vikings,MIN,DET,Lions,1624.41,1263.213,0.920808794,27,10,1
10,10MIATB,11/15/2009,2010,0,0,Dolphins,MIA,TB,Buccaneers,1502.472,1394.171,0.730586596,25,23,1
10,10GBDAL,11/15/2009,2010,0,0,Packers,GB,DAL,Cowboys,1477.945,1617.211,0.394721206,17,7,1
10,10ARISEA,11/15/2009,2010,0,0,Cardinals,ARI,SEA,Seahawks,1585.72,1423.433,0.787240127,31,20,1
10,10INDNE,11/15/2009,2010,0,0,Colts,IND,NE,Patriots,1708.272,1652.596,0.667004296,35,34,1
10,10CARATL,11/15/2009,2010,0,0,Panthers,CAR,ATL,Falcons,1496.349,1568.858,0.489195363,28,19,1
10,10TENBUF,11/15/2009,2010,0,0,Titans,TEN,BUF,Bills,1514.586,1427.598,0.705767015,41,17,1
10,10CLEBAL,11/16/2009,2010,0,0,Browns,CLE,BAL,Ravens,1336.33,1594.849,0.247128725,0,16,0
11,11CARMIA,11/19/2009,2010,0,0,Panthers,CAR,MIA,Dolphins,1519.953,1507.959,0.609024379,17,24,0
11,11MINSEA,11/22/2009,2010,0,0,Vikings,MIN,SEA,Seahawks,1628.245,1413.849,0.83317977,35,9,1
11,11KCPIT,11/22/2009,2010,0,0,Chiefs,KC,PIT,Steelers,1346.077,1656.282,0.195995456,27,24,1
11,11JAXBUF,11/22/2009,2010,0,0,Jaguars,JAX,BUF,Bills,1460.173,1409.88,0.660086532,18,15,1
11,11GBSF,11/22/2009,2010,0,0,Packers,GB,SF,49ers,1507.987,1443.018,0.678778012,30,24,1
11,11DETCLE,11/22/2009,2010,0,0,Lions,DET,CLE,Browns,1259.378,1323.459,0.501322544,38,37,1
11,11NENYJ,11/22/2009,2010,0,0,Patriots,NE,NYJ,Jets,1648.22,1495.521,0.777849189,31,14,1
11,11NYGATL,11/22/2009,2010,0,0,Giants,NYG,ATL,Falcons,1559.855,1545.254,0.612591871,34,31,1
11,11OAKCIN,11/22/2009,2010,0,0,Raiders,OAK,CIN,Bengals,1330.618,1576.814,0.260562304,20,17,1
11,11TBNO,11/22/2009,2010,0,0,Buccaneers,TB,NO,Saints,1388.684,1694.062,0.200411094,7,38,0
11,11CHIPHI,11/22/2009,2010,0,0,Bears,CHI,PHI,Eagles,1467.663,1578.672,0.434172069,20,24,0
11,11DALWSH,11/22/2009,2010,0,0,Cowboys,DAL,WSH,Redskins,1587.169,1425.671,0.786478406,7,6,1
11,11LARARI,11/22/2009,2010,0,0,Rams,LAR,ARI,Cardinals,1290.695,1595.304,0.201121402,13,21,0
11,11DENLAC,11/22/2009,2010,0,0,Broncos,DEN,LAC,Chargers,1506.51,1586.037,0.479106141,3,32,0
11,11BALIND,11/22/2009,2010,0,0,Ravens,BAL,IND,Colts,1607.72,1712.649,0.442789203,15,17,0
11,11HOUTEN,11/23/2009,2010,0,0,Texans,HOU,TEN,Titans,1537.36,1532.304,0.5994742,17,20,0
12,12DENNYG,11/26/2009,2010,0,0,Broncos,DEN,NYG,Giants,1474.134,1570.221,0.455381218,26,6,1
12,12DALOAK,11/26/2009,2010,0,0,Cowboys,DAL,OAK,Raiders,1589.853,1352.96,0.850411964,24,7,1
12,12DETGB,11/26/2009,2010,0,0,Lions,DET,GB,Packers,1266.289,1519.791,0.252541208,12,34,0
12,12SFJAX,11/29/2009,2010,0,0,49ers,SF,JAX,Jaguars,1431.214,1469.128,0.538901109,20,3,1
12,12LACKC,11/29/2009,2010,0,0,Chargers,LAC,KC,Chiefs,1618.414,1371.165,0.857838209,43,14,1
12,12LARSEA,11/29/2009,2010,0,0,Rams,LAR,SEA,Seahawks,1282.725,1404.092,0.419585658,17,27,0
12,12TENARI,11/29/2009,2010,0,0,Titans,TEN,ARI,Cardinals,1549.472,1603.274,0.51610964,20,17,1
12,12ATLTB,11/29/2009,2010,0,0,Falcons,ATL,TB,Buccaneers,1534.887,1376.161,0.783786511,20,17,1
12,12BUFMIA,11/29/2009,2010,0,0,Bills,BUF,MIA,Dolphins,1400.925,1534.206,0.4029816,31,14,1
12,12BALPIT,11/29/2009,2010,0,0,Ravens,BAL,PIT,Steelers,1598.165,1631.194,0.54588054,20,17,1
12,12CINCLE,11/29/2009,2010,0,0,Bengals,CIN,CLE,Browns,1554.472,1316.549,0.851164654,16,7,1
12,12HOUIND,11/29/2009,2010,0,0,Texans,HOU,IND,Colts,1520.192,1722.204,0.312446912,27,35,0
12,12MINCHI,11/29/2009,2010,0,0,Vikings,MIN,CHI,Bears,1638.002,1453.974,0.807449243,36,10,1
12,12NYJCAR,11/29/2009,2010,0,0,Jets,NYJ,CAR,Panthers,1483.836,1493.706,0.578679216,17,6,1
12,12PHIWSH,11/29/2009,2010,0,0,Eagles,PHI,WSH,Redskins,1592.361,1422.987,0.793993115,27,24,1
12,12NONE,11/30/2009,2010,0,0,Saints,NO,NE,Patriots,1706.585,1659.905,0.655404595,38,17,1
13,13BUFNYJ,12/3/2009,2010,0,0,Bills,BUF,NYJ,Jets,1436.542,1504.263,0.496084246,13,19,0
13,13ARIMIN,12/6/2009,2010,0,0,Cardinals,ARI,MIN,Vikings,1589.926,1649.404,0.507946128,30,17,1
13,13SEASF,12/6/2009,2010,0,0,Seahawks,SEA,SF,49ers,1423.712,1457.545,0.544732992,20,17,1
13,13WSHNO,12/6/2009,2010,0,0,Redskins,WSH,NO,Saints,1417.825,1726.859,0.19705986,30,33,0
13,13ATLPHI,12/6/2009,2010,0,0,Falcons,ATL,PHI,Eagles,1540.329,1597.523,0.511231847,7,34,0
13,13CARTB,12/6/2009,2010,0,0,Panthers,CAR,TB,Buccaneers,1473.279,1370.72,0.724031294,16,6,1
13,13CINDET,12/6/2009,2010,0,0,Bengals,CIN,DET,Lions,1560.497,1251.702,0.89583098,23,13,1
13,13INDTEN,12/6/2009,2010,0,0,Colts,IND,TEN,Titans,1735.13,1562.82,0.796743841,27,17,1
13,13JAXHOU,12/6/2009,2010,0,0,Jaguars,JAX,HOU,Texans,1442.797,1507.267,0.500762731,23,18,1
13,13KCDEN,12/6/2009,2010,0,0,Chiefs,KC,DEN,Broncos,1362.697,1507.771,0.386762143,13,44,0
13,13MIANE,12/6/2009,2010,0,0,Dolphins,MIA,NE,Patriots,1498.589,1639.631,0.392281297,22,21,1
13,13NYGDAL,12/6/2009,2010,0,0,Giants,NYG,DAL,Cowboys,1536.583,1597.457,0.505937512,31,24,1
13,13PITOAK,12/6/2009,2010,0,0,Steelers,PIT,OAK,Raiders,1618.783,1345.356,0.87524395,24,27,0
13,13CLELAC,12/6/2009,2010,0,0,Browns,CLE,LAC,Chargers,1310.524,1626.883,0.190473148,23,30,0
13,13CHILAR,12/6/2009,2010,0,0,Bears,CHI,LAR,Rams,1442.572,1263.105,0.803334232,17,9,1
13,13GBBAL,12/7/2009,2010,0,0,Packers,GB,BAL,Ravens,1534.378,1610.575,0.483891798,27,14,1
14,14CLEPIT,12/10/2009,2010,0,0,Browns,CLE,PIT,Steelers,1303.415,1590.105,0.218206253,13,6,1
14,14KCBUF,12/13/2009,2010,0,0,Chiefs,KC,BUF,Bills,1336.83,1417.26,0.477809033,10,16,0
14,14DALLAC,12/13/2009,2010,0,0,Cowboys,DAL,LAC,Chargers,1576.948,1633.992,0.511447604,17,20,0
14,14BALDET,12/13/2009,2010,0,0,Ravens,BAL,DET,Lions,1583.195,1247.432,0.909453248,48,3,1
14,14TBNYJ,12/13/2009,2010,0,0,Buccaneers,TB,NYJ,Jets,1358.421,1523.546,0.359769244,3,26,0
14,14ATLNO,12/13/2009,2010,0,0,Falcons,ATL,NO,Saints,1506.137,1731.777,0.28399751,23,26,0
14,14INDDEN,12/13/2009,2010,0,0,Colts,IND,DEN,Broncos,1743.928,1533.638,0.829868647,28,16,1
14,14HOUSEA,12/13/2009,2010,0,0,Texans,HOU,SEA,Seahawks,1489.381,1436.158,0.663860614,34,7,1
14,14JAXMIA,12/13/2009,2010,0,0,Jaguars,JAX,MIA,Dolphins,1460.683,1507.315,0.526409077,10,14,0
14,14MINCIN,12/13/2009,2010,0,0,Vikings,MIN,CIN,Bengals,1623.498,1564.767,0.670898775,30,10,1
14,14NECAR,12/13/2009,2010,0,0,Patriots,NE,CAR,Panthers,1630.905,1485.577,0.770430794,20,10,1
14,14TENLAR,12/13/2009,2010,0,0,Titans,TEN,LAR,Rams,1554.021,1255.327,0.890278691,47,7,1
14,14CHIGB,12/13/2009,2010,0,0,Bears,CHI,GB,Packers,1450.35,1561.758,0.433607901,14,21,0
14,14OAKWSH,12/13/2009,2010,0,0,Raiders,OAK,WSH,Redskins,1374.035,1412.907,0.537530491,13,34,0
14,14NYGPHI,12/13/2009,2010,0,0,Giants,NYG,PHI,Eagles,1557.092,1631.715,0.48615493,38,45,0
14,14SFARI,12/14/2009,2010,0,0,49ers,SF,ARI,Cardinals,1445.099,1615.832,0.352367652,24,9,1
15,15JAXIND,12/17/2009,2010,0,0,Jaguars,JAX,IND,Colts,1443.596,1751.685,0.197922012,31,35,0
15,15NODAL,12/19/2009,2010,0,0,Saints,NO,DAL,Cowboys,1739.115,1562.716,0.800529072,17,24,0
15,15SEATB,12/20/2009,2010,0,0,Seahawks,SEA,TB,Buccaneers,1414.899,1336.549,0.695336695,7,24,0
15,15BALCHI,12/20/2009,2010,0,0,Ravens,BAL,CHI,Bears,1589.06,1432.69,0.781479341,31,7,1
15,15PITGB,12/20/2009,2010,0,0,Steelers,PIT,GB,Packers,1553.947,1579.419,0.556641192,37,36,1
15,15LACCIN,12/20/2009,2010,0,0,Chargers,LAC,CIN,Bengals,1648.224,1545.795,0.723881743,27,24,1
15,15PHISF,12/20/2009,2010,0,0,Eagles,PHI,SF,49ers,1651.845,1482.824,0.793660541,27,13,1
15,15DETARI,12/20/2009,2010,0,0,Lions,DET,ARI,Cardinals,1241.567,1578.106,0.173201675,24,31,0
15,15CARMIN,12/20/2009,2010,0,0,Panthers,CAR,MIN,Vikings,1475.528,1642.47,0.357363603,26,7,1
15,15DENOAK,12/20/2009,2010,0,0,Broncos,DEN,OAK,Raiders,1525.881,1340.405,0.808741862,19,20,0
15,15KCCLE,12/20/2009,2010,0,0,Chiefs,KC,CLE,Browns,1318.364,1339.572,0.56269012,34,41,0
15,15TENMIA,12/20/2009,2010,0,0,Titans,TEN,MIA,Dolphins,1561.014,1524.402,0.642200019,27,24,1
